champion,result_stats,kills,deaths,assists,teamkills,teamdeaths,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,goldat15,xpat15,csat15
Aatrox,0.5104794025536016,2.905564924114671,2.742712599373645,4.5662490966032285,14.032763189592869,13.537099494097808,0.08118883653497644,0.08085977482088025,0.12858239508700103,0.4485148879788003,0.8788838954468803,13806.91156626506,432.63612081927715,0.22278455975903613,809.1973884216868,701.4234770073922,13.45012048192771,0.41843118072289154,5.359156626506024,0.1626336144578313,5.279518072289156,12204.487872571497,797.5803065041631,251.4786921563895,0.22251239157716904,11402.648718580582,250.2543965309564,226.50742305371153,12.96145443196005,4.045099875156055,7.854453203813201,3241.475495841331,4551.964811260396,75.90761356365962,5217.964413722479,7241.766385048643,122.8831285202253
Ahri,0.5133651973800673,3.5988670561161267,2.2249955744379535,6.459904407859798,14.835015046910957,13.904053814834484,0.09741409847679773,0.11342642320085929,0.09709989258861439,0.47389438838732517,0.9137756771109932,17211.763768372588,534.9638097928103,0.25536566017354345,496.2405158491234,264.14633979811,14.790685319638746,0.4613987249867186,8.404108376128917,0.25921283867540285,5.371170533026386,12638.134560906516,7805.45573654391,265.73583811968837,0.2299467223796034,11742.615426008968,264.76119667197736,255.76961218346025,7.006257822277847,1.864831038798498,8.328439051159497,3404.014393125671,4655.741138560687,84.4388829215897,5455.148442534909,7464.931041890441,136.4564983888292
Akali,0.5107677132993589,4.532467532467533,2.7364787111622553,4.238369225710998,15.219792865362486,14.104882459312838,0.09795851168916694,0.0604014598540146,0.08211678832116788,0.47859171461449945,0.925095183297715,15633.492848923228,485.23441476245273,0.24025012587539044,647.5806239519974,426.81137260647984,10.875390432352457,0.3391009699161598,5.407693572250534,0.16522932763439094,5.309058030577018,12339.408250825083,-12911.052145214522,253.77383282178218,0.22496511402640265,11530.516279069767,247.20992931119514,238.19805087545424,7.147164948453608,1.7961340206185568,7.736899735711926,3304.7075575027384,4632.751186564439,79.5346841913107,5274.970244614823,7337.970062066448,127.61847389558233
Akshan,0.524,4.036,3.02,4.464,15.304,15.272,0.132,0.1336206896551724,0.11206896551724138,0.49010360000000003,0.9832968,15954.172,501.1464828,0.2416265356,467.6846852,386.0395659482759,12.288,0.3891752,7.084,0.21961760000000002,4.412,12906.576,8776.84,277.466892,0.238817948,11939.78,250.84,237.184,9.869565217391305,3.1739130434782608,7.988502400000001,3373.7586206896553,4509.073275862069,78.22844827586206,5559.586206896552,7249.262931034483,126.79310344827586
Alistar,0.5062784152413943,0.7511366096557697,3.302121671357437,8.801688677202858,13.684888504005196,13.624485819441437,0.044584602000869944,0.20714906292664764,0.1221298249968971,0.43563866637800386,0.8667973046113877,4491.511975723421,140.56780752140457,0.07373121013872332,506.86579731223577,681.560856522285,47.86669556735667,1.4676354394711173,9.234637476969763,0.2852858784003468,15.000758643112604,7749.539889286877,258.72180614349287,111.39338095083035,0.09649416984695539,6945.056723659889,42.21086815327993,41.973208451317795,0.06759685722026551,0.04240043348685993,1.3232088980746222,2199.513530287984,2526.976787487587,13.863083416087388,3381.8854270109236,3840.4133565044685,22.196002979145977
Amumu,0.521486643437863,1.2346109175377469,4.371660859465737,9.411149825783973,15.980255516840883,15.822299651567944,0.08246225319396051,0.27478042659974905,0.11794228356336262,0.5164243902439024,1.0267386759581882,7057.401858304297,224.73419790940764,0.10108204703832753,591.9066554006969,544.6095723964868,36.19744483159117,1.1367544715447153,8.227642276422765,0.25966051103368176,12.111498257839722,8161.619047619048,4049.9698025551684,130.16479976771197,0.10912318966318234,7488.4262485481995,64.90011614401858,31.018583042973287,21.702290076335878,2.015267175572519,2.079971080139373,2534.404015056462,2646.6963613550815,26.28732747804266,3852.2308657465496,4119.485570890841,39.58594730238394
Anivia,0.43010752688172044,3.024193548387097,2.6236559139784945,5.201612903225806,12.948924731182796,15.021505376344086,0.10215053763440861,0.08635097493036212,0.06406685236768803,0.3922134408602151,0.8591478494623657,15721.771505376344,456.8433051075269,0.24093166263440857,541.7931782258064,287.050043697479,15.586021505376344,0.46454811827956993,5.422043010752688,0.1571483870967742,5.841397849462366,13029.645161290322,-5888.521505376344,257.62850913978497,0.23973273387096775,12040.694444444445,287.5537634408602,263.38978494623655,18.313725490196077,3.19281045751634,8.595198387096774,3349.9275766016713,4713.740947075209,83.19220055710306,5333.428969359332,7488.114206128133,134.9192200557103
Annie,0.5152079453755432,2.373060211049038,2.9459962756052143,7.677219118559901,14.230912476722533,13.608317815021726,0.07945375543140906,0.1674917491749175,0.12128712871287128,0.46016455617628804,0.8991623215394166,15591.29236499069,496.10505158286776,0.2256887570453135,427.10233153320917,334.63953919141915,14.389819987585351,0.4536543761638734,7.429546865301055,0.23236617008069524,7.069522036002483,10797.810676598387,6700.02731222843,215.85784208566108,0.1863376338299193,10000.37181874612,181.11235257603974,178.5822470515208,1.7041284403669725,0.23623853211009174,5.877803103662321,3132.3399339933994,4101.73597359736,65.62046204620462,4881.987623762377,6438.827557755775,103.6914191419142
Aphelios,0.5101911333174717,4.117931636132921,2.5482591799508287,4.791894678404314,13.756523118407486,13.83162820207788,0.10106467503575402,0.11854187923198219,0.07902791948798812,0.43934873503053373,0.8806040367991117,18144.905022613664,559.3894725382845,0.2782994571133857,356.18912585098786,395.18103582862955,12.563119892089185,0.39440461001348887,10.356343727683885,0.31797428390065857,4.378084583035785,13825.956459671663,3516.3992386390673,302.67648482829725,0.2695618078118804,12642.119873066244,291.96272503767153,267.4047184049567,19.770673360897813,2.760632014176019,9.161687669710203,3448.2440630797773,3219.253710575139,81.55528756957328,5624.579962894249,5422.220871985158,131.0725417439703
Ashe,0.49445579223810915,2.7961774146483807,2.5639042894660053,6.67887365042311,14.023489932885907,13.83090166326233,0.0848697688030436,0.13911620294599017,0.07986906710310966,0.4316851911292676,0.8579449518529326,15740.200963925807,466.8746679859793,0.23375485338104277,383.44981095370235,205.89249308823528,17.136118007886665,0.5191704103987147,10.676354607857455,0.3162969913830875,5.129691835840514,12797.876388077148,-3907.2358270017535,254.58232026592637,0.22721801551724138,11683.527252850226,259.2119929967902,243.40245865651983,12.710715638015904,2.980689132904203,7.780710847953216,3247.570960877394,3115.156654116877,73.28613521034539,5149.460052390308,5162.252783235102,116.10576293385724
