Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
100 Thieves	S9	NA	37	32.4%	0.76	1696	-122	35:03	8.6	11.3	5.0	7.3	37.8	48.6	1.78	38.5	-	0.43	44.4	0.57	0.0	-879	-	0.57	37.2	32.0	1612	3.2	1.26	1.44
100 Thieves Academy	S9	NA	54	61.1%	1.03	1832	56	33:49	14.3	13.8	6.9	5.3	33.3	57.4	2.78	60.0	-	0.59	60.4	1.11	0.0	-178	-	1.00	63.2	32.2	2073	3.2	1.31	1.43
1907 Fenerbahce	S9	TR	53	67.9%	1.29	1864	163	32:32	15.3	11.9	7.3	4.4	62.3	71.7	2.60	62.3	-	0.79	79.2	0.98	0.8	1437	-	0.89	65.0	32.6	1902	3.1	1.23	1.34
ACTINA PACT	S9	PL	32	31.3%	0.61	1689	-212	31:25	10.1	16.7	4.2	7.8	37.5	25.0	1.88	41.4	-	0.41	40.6	0.72	-0.8	-2020	-	0.47	32.3	30.9	1615	2.9	1.25	1.23
Afreeca Freecs	S9	KR	98	42.9%	0.81	1747	-83	34:17	10.7	13.2	5.3	6.3	46.9	54.1	2.24	48.7	-	0.54	55.2	0.89	0.2	85	-	0.67	44.8	32.7	1637	3.9	1.54	1.72
Against All Authority	S9	FR	28	32.1%	0.77	1701	-174	32:11	13.4	17.4	4.9	7.1	53.6	39.3	1.57	36.5	-	0.46	46.4	0.68	-0.4	-1015	-	0.61	37.5	28.7	1950	3.1	1.29	1.18
ahq e-Sports Club	S9	TW	89	50.6%	1.10	1771	12	34:09	11.7	10.6	6.0	5.7	57.3	50.6	2.28	52.7	-	0.53	53.4	0.73	0.0	166	-	0.60	49.2	32.5	1732	3.7	1.52	1.67
Akademia	S9	PL	30	43.3%	0.81	1729	-123	33:46	11.6	14.3	5.2	6.8	43.3	26.7	1.47	38.3	-	0.40	40.0	0.63	-0.6	-1419	-	0.53	34.2	32.0	1770	2.9	1.13	1.08
All Knights	S9	LAT	54	66.7%	1.16	1804	58	33:25	12.8	11.0	7.2	4.6	55.6	61.1	2.56	60.7	-	0.61	61.1	0.83	0.6	821	-	0.72	59.5	32.1	1882	3.9	1.36	1.47
Alpha Esports	S9	TW	59	32.2%	0.73	1721	-144	30:58	9.9	13.6	4.4	7.6	50.8	52.5	1.73	42.6	-	0.49	49.2	0.85	0.1	4	-	0.36	26.1	32.3	1697	3.3	1.39	1.25
