,,,,,,,,,,,,,,,,,,,,
Player,Team,POS,M,G,W,L,K,D,A,KDA,KP%,KS%,CS,CSM,GLD%,DPM,FB,DTH%,WPM,WCPM
Knight,Top Esports,MID,15,34,26,8,195,64,222,6.5,68.1,31.9,8884,8.3,23.1,652.6,6,15.4,0.29,0.26
JackeyLove,Top Esports,ADC,13,32,25,7,178,86,264,5.1,69.8,28.1,8698,8.4,23.6,760.7,6,20.7,0.43,0.46
Xiaohu,Royal Never Give Up,TOP,19,37,23,14,160,98,233,4.0,67.9,27.6,10032,8.3,21.6,329.4,5,21.0,0.24,0.15
iBoy,Vici Gaming,ADC,13,28,16,12,145,68,161,4.5,67.4,31.9,8108,9.1,25.1,538.9,2,17.8,0.35,0.47
Scout,EDward Gaming,MID,15,36,19,17,140,76,209,4.6,69.2,27.8,9909,8.4,21.8,351.9,3,17.6,0.31,0.18
XiaoXiang,EDward Gaming,TOP,14,34,18,16,122,97,177,3.1,55.6,22.7,8507,8.0,21.7,461.7,4,20.2,0.38,0.19
Elk,Bilibili Gaming,ADC,8,26,21,5,118,48,199,6.6,66.0,24.6,6909,9.2,23.4,692.1,9,18.2,0.42,0.41
Xun,Bilibili Gaming,JNG,7,24,19,5,113,61,186,4.9,67.5,25.5,4198,6.0,19.8,421.8,5,23.8,0.35,0.37
Elk,WE,ADC,12,24,14,10,110,67,160,4.0,64.4,26.3,6955,9.1,23.8,513.2,3,19.9,0.41,0.34
Hope,EDward Gaming,ADC,11,22,13,9,108,49,146,5.2,69.0,29.3,6431,9.2,24.5,495.7,5,17.3,0.44,0.39
Ucal,TT,MID,8,21,14,7,106,33,129,7.1,66.0,29.8,5562,8.7,22.3,599.8,2,12.8,0.33,0.20
Beishang,WE,JNG,12,24,14,10,105,54,194,5.5,71.4,25.1,4739,6.2,20.1,405.6,5,16.1,0.41,0.41
YaGao,JD Gaming,MID,16,33,17,16,104,84,190,3.5,68.5,24.2,8539,8.1,19.0,382.5,1,19.2,0.32,0.22
LokeN,JD Gaming,ADC,9,23,15,8,100,43,152,5.9,72.4,28.7,6563,8.8,20.1,451.3,3,14.3,0.39,0.30
Bin,Bilibili Gaming,TOP,8,26,21,5,97,54,134,4.3,48.1,20.2,6673,8.9,21.9,581.4,1,20.5,0.39,0.12
Lwx,FunPlus Phoenix,ADC,8,19,11,8,94,58,111,3.5,64.9,29.7,5254,9.0,21.3,502.1,5,18.5,0.35,0.27
Kanavi,JD Gaming,JNG,9,23,15,8,88,58,160,4.3,71.3,25.3,4471,6.0,17.4,334.2,4,19.3,0.39,0.44
Xiaolaohu,FunPlus Phoenix,TOP,13,25,13,12,88,91,118,2.3,51.2,21.9,5988,7.9,19.2,419.6,2,21.3,0.25,0.21
Jinjiao,Bilibili Gaming,ADC,10,23,12,11,85,42,87,4.1,64.9,32.1,7292,10.0,22.4,406.6,1,15.7,0.26,0.22
369,Top Esports,TOP,11,26,18,8,83,64,190,4.3,55.5,16.9,6961,8.2,21.5,563.2,0,17.5,0.39,0.20
Shanks,WE,MID,13,23,14,9,82,56,177,4.6,66.4,21.0,6145,8.2,21.4,593.2,0,18.2,0.38,0.28
Zoom,JD Gaming,TOP,11,27,16,11,80,63,158,3.8,63.0,21.2,7473,8.5,19.4,367.7,2,18.5,0.36,0.14
Cube,Vici Gaming,TOP,12,25,16,9,77,70,156,3.3,55.0,18.2,6027,7.5,20.5,478.7,2,22.8,0.50,0.15
Aix,Vici Gaming,JNG,12,25,16,9,76,58,196,4.7,64.2,17.9,4643,5.8,19.0,355.0,4,18.9,0.66,0.45
Beichuan,TT,JNG,8,21,14,7,75,67,161,3.5,66.3,21.1,3531,5.5,20.0,378.5,5,26.1,0.88,0.47
Able,OMG,ADC,10,15,7,8,74,36,78,4.2,67.6,32.9,3895,9.2,24.7,556.6,1,19.6,0.56,0.53
Karsa,Top Esports,JNG,8,19,14,5,74,56,150,4.0,65.3,21.6,3574,5.9,19.1,347.3,8,22.0,0.62,0.42
Light,Li-Ning Gaming,ADC,6,12,6,6,72,23,57,5.6,64.5,36.0,3281,8.9,23.2,523.2,1,11.6,0.34,0.28
Huanfeng,TT,ADC,5,18,12,6,70,33,121,5.8,65.0,23.8,5303,9.6,24.0,546.8,1,15.3,0.40,0.33
JackeyLove,Invictus Gaming,ADC,8,17,10,7,70,40,83,3.8,68.9,31.5,5231,9.9,25.2,0.0,0,17.2,0.00,0.00
iBoy,EDward Gaming,ADC,8,18,9,9,69,35,81,4.3,68.5,31.5,5971,9.9,24.4,230.6,0,19.8,0.18,0.22
Ahn,Invictus Gaming,ADC,6,9,5,4,68,27,57,4.6,81.7,44.4,2599,8.9,25.8,942.2,2,15.6,0.40,0.36
Forge,Vici Gaming,MID,7,17,8,9,67,57,63,2.3,55.8,28.8,4247,8.2,22.5,401.6,1,22.0,0.49,0.27
Hoya,TT,TOP,8,21,14,7,67,58,130,3.4,55.3,18.8,4828,7.5,20.2,531.9,1,22.6,0.39,0.17
Xun,Invictus Gaming,JNG,10,15,9,6,66,57,106,3.0,73.5,28.2,1142,2.5,18.1,356.4,5,26.0,0.35,0.29
LangX,Royal Never Give Up,TOP,7,14,11,3,60,28,77,4.9,56.4,24.7,3572,8.1,22.6,465.6,0,18.7,0.43,0.15
Able,Royal Never Give Up,ADC,4,10,8,2,59,14,55,8.1,69.9,36.2,3188,9.7,23.8,295.2,2,17.5,0.13,0.19
Knight,Topsports Gaming,MID,4,9,6,3,59,20,53,5.6,72.3,38.1,2425,8.4,23.0,0.0,0,19.0,0.00,0.00
Tian,Top Esports,JNG,7,17,12,5,59,52,154,4.1,66.1,18.3,1657,3.0,19.0,358.2,3,23.4,0.52,0.34
Betty,Royal Never Give Up,ADC,7,14,11,3,58,19,104,8.5,66.7,23.9,4104,9.3,23.8,534.3,1,12.7,0.40,0.37
Ning,Invictus Gaming,JNG,8,19,11,8,55,62,124,2.9,71.6,22.0,2838,4.9,18.4,0.0,0,23.2,0.00,0.00
Photic,Ninjas in Pyjamas,ADC,5,11,6,5,55,33,40,2.9,65.1,37.7,3010,9.3,24.0,658.3,2,21.9,0.39,0.40
Knight,Bilibili Gaming,MID,3,10,9,1,54,20,65,6.0,64.3,29.2,2297,8.7,21.8,723.5,1,25.3,0.31,0.27
