Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
1907 Fenerbahce	S7	TR	22	63.6%	1.19	1882	121	35:52	13.3	11.1	7.5	5.5	31.8	31.8	1.73	51.5	-	0.23	23.8	0.45	0.1	309	-	1.00	65.2	31.6	2046	3.3	0.87	1.31
Afreeca Freecs	S7	KR	108	52.8%	1.04	1814	37	36:32	11.0	10.5	6.5	6.0	48.1	48.1	2.07	56.2	-	0.30	55.2	0.46	-0.1	-147	-	0.74	49.9	32.9	1885	4.0	1.02	1.55
ahq e-Sports Club	S7	TW	90	64.4%	1.16	1849	148	34:52	12.2	10.4	6.8	4.8	51.1	56.7	2.00	60.0	-	0.39	71.4	0.47	0.1	527	-	0.84	65.9	32.9	1865	3.5	0.90	1.54
Ascension Gaming	S7	SEA	4	0.0%	0.55	1656	-404	39:25	11.0	20.0	2.5	10.8	-	-	1.75	31.3	-	0.25	33.3	0.67	-1.3	-1599	-	0.75	25.0	30.4	1561	3.6	0.88	1.19
bbq Olivers	S7	KR	99	35.4%	0.90	1727	-114	36:11	9.1	10.0	5.0	7.3	40.4	41.4	1.71	46.2	-	0.21	37.5	0.40	-0.4	-404	-	0.57	33.4	32.5	1741	3.8	1.03	1.31
Big Gods Jackals	S7	NA	37	37.8%	0.80	1703	-122	34:56	11.4	14.2	5.2	7.1	43.2	59.5	1.73	47.7	-	0.30	44.0	0.54	0.3	-161	-	0.49	35.8	30.0	2026	3.4	0.86	1.08
CJ Entus	S7	KR	9	33.3%	0.80	1667	-270	37:53	8.1	10.1	3.9	8.1	44.4	44.4	0.89	28.7	-	0.11	14.3	0.11	0.2	-828	-	0.67	37.5	31.3	1632	3.6	1.05	1.75
CLG	S7	NA	114	53.5%	1.04	1785	-4	36:14	14.6	14.1	6.6	6.0	57.9	44.7	1.93	53.2	-	0.18	38.9	0.44	-0.1	-403	-	0.81	54.2	29.8	1999	3.5	1.15	1.25
CLG Academy	S7	NA	22	27.3%	0.74	1648	-255	30:12	10.6	14.3	3.9	7.7	40.9	22.7	1.41	42.8	-	0.41	42.9	0.55	-0.5	-1165	-	0.27	32.4	28.9	1813	3.4	1.02	1.09
Cloud 9	S7	NA	129	64.3%	1.29	1851	126	35:44	13.9	10.7	7.5	5.4	47.3	45.0	1.95	54.8	-	0.30	54.2	0.60	0.3	418	-	0.91	59.4	31.5	2039	3.5	1.02	1.27
CNB e-Sports Club	S7	BR	28	32.1%	1.04	1698	-92	40:57	10.6	10.2	5.2	8.2	42.9	39.3	1.64	36.0	-	0.25	41.2	0.36	-0.1	-522	-	0.79	41.0	31.3	1817	3.5	1.00	1.45
Crew e-Sports Club	S7	TR	4	75.0%	1.24	1905	98	38:31	21.0	17.0	8.0	5.8	75.0	50.0	1.75	38.3	-	0.25	25.0	0.25	0.0	-386	-	1.50	66.7	31.1	2312	3.3	0.90	1.20
